Title,Opponent,Score,Date,Location (City),Location (Stadium),Latitude,Longitude,Cost,Description,Source,Relation,Rights,Reference URL,CONTENTdm number,Image Link
"Football Program. Idaho - Oregon State, 10/29/1966, Bronco Stadium, Boise (Idaho)",University of Oregon,7-28,10/29/1966,Boise (Idaho),Bronco Stadium,43.602778,-116.195833,$0.50,"Official souvenir program of the Idaho - University of Oregon football game, Saturday, October 29, 1966, Boise (Idaho). Cover depicts a picture of a football player in red tackling a football player in green.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,46",46,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=46&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=1046&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Utah, 11/07/1959, Bronco Stadium, Boise (Idaho)",University of Utah,13-47,11/7/1959,Boise (Idaho),Bronco Stadium,43.602818,-116.195833,$0.25,"Official souvenir program of the Idaho - University of Utah football game, Saturday, November 07, 1959, Bronco Stadium, Boise (Idaho). Cover depicts a picture of a football player in a blue uniform and he is running.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,55",55,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=55&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=1155&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Utah State University, 10/08/1960, Romney Stadium, Logan (Utah)",Utah State,6-33,10/8/1960,Boise (Idaho),Bronco Stadium,43.602778,-116.195853,$0.25,"Official souvenir program of the Idaho - Utah State University football game, Saturday, October 08, 1960, Boise (Idaho), Bronco Stadium. Homecoming;  Cover depicts a cartoon drawing of a bear in a football uniform with a football and a helmet.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,59",59,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=59&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=1259&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Idaho State, 09/30/1967, Bronco Stadium, Boise (Idaho)",Idaho State,16-6,9/30/1967,Boise (Idaho),Bronco Stadium,43.602838,-116.195833,$0.50,"Official souvenir program of the Idaho - Idaho State football game, Saturday, September 30, 1967, Bronco Stadium, Boise (Idaho). Cover depicts picture of football players tackling each other.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,71",71,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=71&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=1371&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Montana State University, 11/06/1948, Boise (Idaho)",Montana State University,28-12,11/6/1948,Boise (Idaho),Bronco Stadium,43.602778,-116.195873,,"Official souvenir program of the Idaho - Montana State University football game, Saturday, November 6, 1948,Boise (ID). Cover depicts a picture of a cartoon football player in a yellow uniform getting tackled by football players in a red uniform.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,90",90,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=90&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=1490&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Oregon State, 10/16/1965, Bronco Stadium, Boise (Idaho)",Oregon State,14-16,10/16/1965,Boise (Idaho),Bronco Stadium,43.602858,-116.195833,$0.50,"Official souvenir program of the Idaho - Oregon State football game, Saturday, October 16, 1965,Bronco Stadium Boise, ID. Cover depicts picture of a cartoon football player in a white uniform catching a football.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,102",102,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=102&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=15102&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Portland University, 10/29/1949, Neale Stadium, Moscow (Idaho)",Portland University,49-21,10/29/1949,Boise (Idaho),Bronco Stadium,43.602778,-116.195893,$0.25,"Official souvenir program of the Idaho - Portland University football game, Saturday, October 29, 1949, Boise (Idaho). Cover depicts a cartoon picture of a football player in a blue uniform with a little dog.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,110",110,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=110&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=16110&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Utah, 09/24/1955, Bronco Stadium, Boise (Idaho)",University of Utah,13-20,9/24/1955,Boise (Idaho),Bronco Stadium,43.602878,-116.195833,$0.25,"Official souvenir program of the Idaho - University of Southern California football game, Saturday, November 24, 1955, Bronco Stadium, Boise (Idaho). Cover depicts a picture of a football player in a blue uniform about to attack a football player in a red uniform.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,121",121,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=121&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=17121&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Utah, 09/28/1963, Bronco Stadium, Boise (Idaho)",University of Utah,10-9,9/28/1963,Boise (Idaho),Bronco Stadium,43.602778,-116.195913,$0.50,"Official souvenir program of the Idaho - University of Utah football game, Saturday, September 28, 1963, Bronco Stadium, Boise (Idaho). Cover depicts a picture of a football player in a blue uniform about to attack a football player in a red uniform.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,122",122,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=122&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=18122&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Utah, 10/05/1957, Bronco Stadium, Boise (Idaho)",University of Utah,21-6,10/5/1957,Boise (Idaho),Bronco Stadium,43.602898,-116.195833,$0.25,"Official souvenir program of the Idaho - University of Montana football game, Saturday,November 2, 1957, Neale Stadium, Moscow (Idaho). Cover depicts two football players trying to catch the ball.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,123",123,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=123&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=19123&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Utah State, 11/10/1956, Bronco Stadium, Boise (Idaho)",Utah State,42-20,11/10/1956,Boise (Idaho),Bronco Stadium,43.602778,-116.195933,$0.25,"Official souvenir program of the Idaho - Utah State football game, Saturday, September 22, 1962, Bronco Stadium, Boise (Idaho). Cover depicts a picture of two football players one in a blue and the other in a red uniform trying to catch a football player .",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,132",132,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=132&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=20132&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Washington, 11/14/1964, Bronco Stadium, Boise (Idaho)",Utah State,27-22,11/14/1964,Boise (Idaho),Bronco Stadium,43.602918,-116.195833,$0.50,"Official souvenir program of the Idaho - Utah State football game, Saturday, November 10, 1956, Bronco Stadium, Boise (Idaho). Cover depicts a picture of two football players one in a blue and the other in a white uniform running with a football .",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,133",133,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=133&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=21133&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Utah State, 09/22/1962, Bronco Stadium, Boise (Idaho)",Utah State,7-45,9/22/1962,Boise (Idaho),Bronco Stadium,43.602778,-116.195953,$0.25,"Official souvenir program of the Idaho - Utah State football game, Saturday, September 22, 1962, Bronco Stadium, Boise (Idaho). Cover depicts a cartoon drawing of a football player getting tackled by another football player .",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,136",136,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=136&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=22136&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Montana, 10/01/1960, Dornblaser Field, Missoula (Montana)",University of Montana,14-18,10/1/1960,Missoula (Montana),Dornblaser Field,46.860663,-113.981859,$0.10,"Official souvenir program of the Idaho - University of Montana football game, Saturday, October 01, 1960, Dornblaser Field, Missoula (Montana). Homecoming;  Cover depicts a cartoon drawing of a bear in a football uniform with a football and a helmet.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,18",18,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=18&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2318&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - Montana State University, 11/08/1958, Dornblaser Field, Missoula (Montana)",Montana State University,14-6,11/8/1958,Missoula (Montana),Dornblaser Field,46.860663,-113.981839,,"Official souvenir program of the Idaho - Montana State University football game, Saturday, November 08, 1958, Dornblaser Field, Missoula (Montana). Little Brown Stein Game. Cover depicts a picture of a football player in a white uniform running.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,38",38,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=38&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2438&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Montana, 10/14/1967, Dornblaser Field, Missoula (Montana)",University of Montana,19-14,10/14/1967,Missoula (Montana),Dornblaser Field,46.860683,-113.981859,$0.50,"Official souvenir program of the Idaho - University of Montana football game, Saturday, October 14, 1967, Dornblaser Field, Missoula (Montana). Cover depicts picture of football players in various stances.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,76",76,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=76&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2576&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
"Football Program. Idaho - University of Montana, 10/23/1948, Dornblaser Field, Missoula (Montana)",University of Montana,39-0,10/23/1948,Missoula (Montana),Dornblaser Field,46.860663,-113.981859,$0.25,"Official souvenir program of the Idaho - University of Montana football game, Saturday, October 23, 1948, Dornblaser Field, Missoula (Montana). Dad's Day. Cover depicts picture of two cartoon characters shaking hands.",University of Idaho Special Collections & Archives.,University of Idaho Football Program Covers Collection,"Digital image copyright 2011, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, Idaho 83844-2351.","http://contentdm.lib.uidaho.edu/u?/football,77",77,http://contentdm.lib.uidaho.edu/cgi-bin/getimage.exe?CISOROOT=/football&CISOPTR=77&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=2677&DMSCALE=42.28330&DMWIDTH=800&DMHEIGHT=700&DMX=0&DMY=0&DMTEXT=&REC=1&DMTHUMB=1&DMROTATE=0
